title,artist,url,location,date,ntracks,genres
Xenomorph,Wu Kush,https://wukush.bandcamp.com/album/xenomorph?from=footer-bcw-a623037069,"Melbourne, Australia",2018-07-27,4,"['brokenbeat', 'electronic', 'acid', 'ambient', 'breakbeat', 'brokenbeat', 'bruk', 'chill', 'deephouse', 'detroittechno', 'downtempo', 'electro', 'electronica', 'house', 'rave', 'techno']"
Acid Snatch,Wulls,https://releasedrecords.bandcamp.com/album/acid-snatch?from=footer-nn-a623037069,"Leeds, UK",2021-02-9,13,"['electronic', 'bass', 'beats', 'breakbeat', 'breaks', 'electronica', 'rave']"
Alien Mode EP,Pearson Sound,https://music.pearsonsound.com/album/alien-mode-ep?from=footer-bcw-a623037069,"London, UK",2020-07-3,3,"['electronic', 'house', 'ambient', 'bassmusic', 'breakbeat', 'rave', 'techno']"
Physically Sick 2,Physically Sick 2,https://physicallysick2.bandcamp.com/album/physically-sick-2?from=footer-cc-a623037069,"New York, New York",2018-03-6,44,"['electronic', 'house', 'allergyseason', 'ambient', 'charity', 'clubmusic', 'discwoman', 'techno']"
Love Inna Basement,DJ Bogdan,https://djbogdan.bandcamp.com/album/love-inna-basement?from=footer-cc-a623037069,"Berlin, Germany",2019-07-22,2,"['electronic', 'hardcore', 'rave', 'techno']"
Physically Sick 2,Physically Sick 2,https://physicallysick2.bandcamp.com/album/physically-sick-2?from=footer-cc-a1782152465,"New York, New York",2018-03-6,44,"['electronic', 'house', 'allergyseason', 'ambient', 'charity', 'clubmusic', 'discwoman', 'techno']"
Physically Sick,Physically Sick,https://physicallysick.bandcamp.com/album/physically-sick?from=footer-cc-a1782152465,"New York, New York",2017-01-19,42,"['electronic', 'acid', 'ambient', 'community', 'discwoman', 'electro', 'experimental', 'house', 'protestmusic', 'techno']"
Veteran,JPEGMAFIA,https://jpegmafia.bandcamp.com/album/veteran?from=footer-cc-a1782152465,"Baltimore, Maryland",2018-01-19,19,"['hiphop/rap', 'alternativehiphop', 'experimentalhiphop', 'lofi', 'psychedelic', 'punk', 'rightwingtrap', 'thrash', 'trap', 'undergroundhiphop']"
Nothing EP,Loraine James,https://lorainejames.bandcamp.com/album/nothing-ep?from=footer-aotd-a1782152465,"London, UK",2020-10-2,4,"['electronic', 'experimental', 'idm', 'ambient', 'club', 'electronica', 'idm', 'pop', 'techno']"
Forest Whispers,Inalco2222,https://nodolabel.bandcamp.com/album/forest-whispers?from=footer-nn-a1782152465,"Buenos Aires, Argentina",2021-03-5,2,"['electronic', 'idm', 'club', 'ebm', 'electro', 'experimental', 'industrial', 'noise', 'techno']"
The Gate,Locked Groove,https://lockedgroove.bandcamp.com/album/the-gate?from=footer-bcw-a1782152465,"Berlin, Germany",2018-08-24,3,"['electronic', 'house', 'leftfieldhouse', 'techno', 'ambientelectronic', 'electronica', 'rave', 'trance']"
Mnestic Pressure,Lee Gamble,https://leegamble.bandcamp.com/album/mnestic-pressure?from=footer-cc-a1782152465,UK,2017-10-20,13,['electronic']
Stranger,Joanne Pollock,https://joannepollock.bandcamp.com/album/stranger?from=footer-ar-a2366572449,"Toronto, Ontario",2017-06-16,10,"['electronic', 'electropop']"
Optimist,Joanne Pollock,https://joannepollock.bandcamp.com/album/optimist?from=footer-ar-a2366572449,"Toronto, Ontario",2015-07-2,6,"['electronic', 'joannepollock', 'electropop', 'pop']"
Aberystwyth Marine,µ-Ziq,https://mikeparadinas.bandcamp.com/album/aberystwyth-marine?from=footer-cc-a2366572449,"Hove, UK",2016-02-4,17,"['electronic', 'breakbeat', 'electronica', 'rephlex', 'techno', 'µziq']"
Odyssey,HOME,https://music.midwestcollective.us/album/odyssey?from=footer-cc-a2366572449,,2014-07-01,12,"['pop', 'ambient', 'analog', 'chillwave', 'electronic', 'midwestcollective', 'mwc', 'synth', 'synthpop', 'synthwave']"
Prismatic / Loomstate,Curved Light,https://curvedlight.bandcamp.com/album/prismatic-loomstate-2?from=footer-nn-a2366572449,"Austin, Texas",2016-08-5,14,"['electronic', 'abstract', 'ambient', 'analog', 'drone', 'experimental', 'minimal', 'modular', 'musiqueconcrete', 'newage', 'psychedelic', 'synth']"
UMR40 Facing The Sky,Object Truth,https://unfinishedmonkeyrecords.bandcamp.com/album/umr40-facing-the-sky?from=footer-nn-a2366572449,Belgium,2021-03-3,3,"['electronic', 'breakcore', 'dub', 'hiphop', 'idm', 'jungle']"
Corpo​-​Mente,Corpo-Mente,https://blood-music.bandcamp.com/album/corpo-mente?from=footer-cc-a2462890451,"Porvoo, Finland",2015-03-24,10,"['diamandagalas', 'igorrr', 'rïcïnn', 'bjork', 'opera', 'triphop', 'öxxöxööx']"
INTERRUPT REQUEST,MASTER BOOT RECORD,https://masterbootrecord.bandcamp.com/album/interrupt-request?from=footer-cc-a2462890451,"Rome, Italy",2017-09-20,16,"['alternative', 'blackmetal', 'deathmetal', 'metal', 'rock', 'thrashmetal', 'chiptune', 'classical', 'cyberpunk', 'doom', 'electronic', 'experimental', 'industrial', 'progressivemetal', 'synthwave']"
C​:​\​>CHKDSK /F,MASTER BOOT RECORD,https://masterbootrecord.bandcamp.com/album/c-chkdsk-f?from=footer-cc-a2462890451,"Rome, Italy",2016-09-22,10,"['80s', 'metal', 'alternative', 'avantgarde', 'blackmetal', 'chiptune', 'classical', 'cyberpunk', 'darksynth', 'electronic', 'experimental', 'industrial', 'progressivemetal', 'rock', 'synthwave', 'vaporwave']"
